bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genre,description,book_type,popularity_level,target_age_group,mood,title_clean,title_lower,author_clean
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,439785960,9780440000000.0,English,652,2095690.0,27591,16-09-2006,Scholastic Inc.,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,Harry Potter and the Half-Blood Prince (Harry Potter  #6),harry potter and the half-blood prince (harry potter  #6),jkrowling
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling,4.49,439358078,9780440000000.0,English,870,2153167.0,29221,01-09-2004,Scholastic Inc.,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,Harry Potter and the Order of the Phoenix (Harry Potter  #5),harry potter and the order of the phoenix (harry potter  #5),jkrowling
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9780440000000.0,English,352,6333.0,244,01-11-2003,Scholastic,"Fantasy, Thriller","Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Tension builds through close escapes, uncertain motives, and a constant sense that something important is being concealed. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,Harry Potter and the Chamber of Secrets (Harry Potter  #2),harry potter and the chamber of secrets (harry potter  #2),jkrowling
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,43965548,9780440000000.0,English,435,2339585.0,36325,01-05-2004,Scholastic Inc.,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),harry potter and the prisoner of azkaban (harry potter  #3),jkrowling
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling,4.78,439682584,9780440000000.0,English,2690,41428.0,164,13-09-2004,Scholastic,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),harry potter boxed set  books 1-5 (harry potter  #1-5),jkrowling
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9780980000000.0,English (US),152,19.0,1,26-04-2005,Nimble Books,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation","unauthorized harry potter book seven news: ""half-blood prince"" analysis and speculation",wfrederickzimmerman
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9780440000000.0,English,3342,28242.0,808,12-09-2005,Scholastic,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Story collection,Very High,All Ages,Happy,Harry Potter Collection (Harry Potter  #1-6),harry potter collection (harry potter  #1-6),jkrowling
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9780520000000.0,English,815,3628.0,254,01-11-2005,Gramercy Books,"Non-fiction, Self-Help","Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,High,All Ages,Adventurous,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),the ultimate hitchhiker's guide: five complete novels and one story (hitchhiker's guide to the galaxy  #1-5),douglasadams
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9780350000000.0,English,815,249558.0,4080,30-04-2002,Del Rey Books,"Non-fiction, Self-Help","Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,Very High,All Ages,Adventurous,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),the ultimate hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1-5),douglasadams
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400000000.0,English,215,4930.0,460,03-08-2004,Crown,"Non-fiction, Self-Help","Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,High,All Ages,Adventurous,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1),douglasadams
