bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genre,description,book_type,popularity_level,target_age_group,mood
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,439785960,9.78044E+12,English,652,2095690,27591,16-09-2006,Scholastic Inc.,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling,4.49,439358078,9.78044E+12,English,870,2153167,29221,01-09-2004,Scholastic Inc.,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9.78044E+12,English,352,6333,244,01-11-2003,Scholastic,"Fantasy, Thriller","Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Tension builds through close escapes, uncertain motives, and a constant sense that something important is being concealed. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,43965548,9.78044E+12,English,435,2339585,36325,01-05-2004,Scholastic Inc.,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling,4.78,439682584,9.78044E+12,English,2690,41428,164,13-09-2004,Scholastic,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9.78098E+12,English (US),152,19,1,26-04-2005,Nimble Books,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Low,All Ages,Happy
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78044E+12,English,3342,28242,808,12-09-2005,Scholastic,Fantasy,"Set in a world where unusual powers and hidden forces shape everyday life, the story follows characters who move between danger and wonder. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Story collection,Very High,All Ages,Happy
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9.78052E+12,English,815,3628,254,01-11-2005,Gramercy Books,"Non-fiction, Self-Help","Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,High,All Ages,Adventurous
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9.78035E+12,English,815,249558,4080,30-04-2002,Del Rey Books,"Non-fiction, Self-Help","Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,Very High,All Ages,Adventurous
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9.7814E+12,English,215,4930,460,03-08-2004,Crown,"Non-fiction, Self-Help","Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,High,All Ages,Adventurous
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,739322206,9.78074E+12,English,6,1266,253,23-03-2005,Random House Audio,"Non-fiction, Self-Help","Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,High,All Ages,Adventurous
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,9.78052E+12,English,815,2877,195,17-01-1996,Wings Books,"Non-fiction, Self-Help","Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,High,All Ages,Adventurous
21,A Short History of Nearly Everything,Bill Bryson,4.21,76790818,9.78077E+12,English,544,248558,9396,14-09-2004,Broadway Books,"History, Non-fiction","Events unfold against a backdrop of conflict or historical change, where power, survival, and loyalty become difficult to balance. Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
22,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9.78077E+12,English,55,7270,499,03-12-2002,Broadway Books,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,9.78077E+12,English,256,2088,131,14-09-2004,Broadway Books,"Non-fiction, Self-Help","Rather than focusing only on events, the book invites the reader to reflect on choices, habits, and perspectives that influence real life. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,High,All Ages,Adventurous
24,In a Sunburned Country,Bill Bryson,4.07,767903862,9.78077E+12,English,335,72451,4245,15-05-2001,Broadway Books,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,76790382,9.78077E+12,English,304,49240,2211,28-06-2000,Broadway Books,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9.78006E+12,English,299,45712,2257,28-08-1990,William Morrow Paperbacks,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9.78038E+12,English,254,48701,2238,28-03-1993,William Morrow Paperbacks,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
28,Notes from a Small Island,Bill Bryson,3.91,380727501,9.78038E+12,English,324,80609,3301,28-05-1997,William Morrow Paperbacks,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,9.78038E+12,English,270,28489,2085,28-09-1991,William Morrow Paperbacks,"Family, Family Drama","Family ties, generational conflicts, and unspoken expectations shape many of the key turning points in the storyline. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Emotional
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9.78035E+12,English,1728,101233,1550,25-09-2012,Ballantine Books,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,9.78062E+12,English,1184,1710,91,21-10-2004,Houghton Mifflin Harcourt,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9.78062E+12,English,398,2128944,13670,05-09-2003,Houghton Mifflin Harcourt,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618260587,9.78062E+12,English (US),1216,1618,140,01-10-2002,Houghton Mifflin Harcourt,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,High,All Ages,Happy
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith,4.53,618391002,9.78062E+12,English,218,19822,46,05-11-2003,Houghton Mifflin Harcourt,"Historical, War","Events unfold against a backdrop of conflict or historical change, where power, survival, and loyalty become difficult to balance. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Very High,All Ages,Happy
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9.78062E+12,English,224,359,6,15-11-2004,Houghton Mifflin Harcourt,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about.",Novel,Medium,All Ages,Happy
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,3.84,97669400,9.78098E+12,English,558,1430,59,28-07-2005,Pragmatic Bookshelf,Fiction,"The narrative follows characters whose choices gradually reveal deeper patterns beneath ordinary situations. Across the course of the book, the characters face inner and outer challenges that reshape their understanding of themselves and the world around them. Themes of change, responsibility, and connection run throughout the plot, giving the story both intimate moments and larger ideas to think about. Much of the movement in the story feels like a journey, with each step revealing new lessons and consequences.",Novel,High,All Ages,Adventurous
